CIF,TRANSACTIONCODE,CUSTOMERTYPE,BIRTHDATE
10024727,D109301,0,1345/06/01
10025237,C107012,0,1310/02/20
10025252,C107012,0,1366/04/03
10025294,C107012,0,1367/06/06
10025369,C107012,0,1328/10/12
10025583,C107012,0,1330/04/24
10025740,D109301,0,1337/01/20
10026045,D109301,0,1354/11/10
10026045,0,0,1354/11/10
10026102,C107012,0,1354/11/09
10026144,D109301,0,1330/08/08
10026185,D109301,0,1331/03/09
10026409,D109301,0,1324/02/17
10026573,0,0,1359/11/18
10026649,C107012,0,1342/12/01
10026649,D109301,0,1342/12/01
10026680,C107012,0,1353/02/20
10027274,D109301,0,1357/12/14
10027407,D109301,0,1351/10/01
10027423,D109301,0,1375/02/26
10027985,D109301,0,1367/11/26
10028132,D109301,0,1327/08/29
10028363,C107012,0,1359/06/27
1002880,C107012,0,1339/06/01
10028835,C107012,0,1348/06/31
10029023,D109301,0,1350/05/26
10029031,D109301,0,1343/05/09
10029197,C107012,0,1342/05/08
10029197,D109301,0,1342/05/08
10029338,D109301,0,1323/11/03
10029726,D109301,0,1347/04/20
10029932,D109301,0,1381/01/14
10031219,D109301,0,1337/01/10
10031649,D109301,0,1389/03/23
10031722,D109301,0,1323/08/01
10031805,D109301,0,1326/02/27
10032191,D109301,0,1362/01/20
10032431,C107012,0,1355/01/01
10032431,D109301,0,1355/01/01
10032951,C107012,0,1339/03/14
10033371,C107012,0,1344/03/10
10033488,C107012,0,1332/01/10
10033629,D109301,0,1367/11/07
10033678,D109301,0,1363/02/22
10033975,D109301,0,1332/05/14
10034213,D109301,0,1325/12/26
10034262,C107012,0,1343/01/20
10034262,D109301,0,1343/01/20
10034486,0,0,1364/12/01
10035012,D109301,0,1339/04/18
10035251,D109301,0,1335/04/10
10035319,D109301,0,1336/09/22
10035640,C107012,0,1348/07/01
1003870,C107012,0,1366/11/17
1003870,D109301,0,1366/11/17
10040830,D109301,0,1325/12/01
10040913,C107012,0,1346/04/11
10040913,D109301,0,1346/04/11
10041028,C107012,0,1349/04/06
10041168,C107012,0,1339/10/12
10041606,D109301,0,1363/03/28
10041739,D109301,0,1375/09/14
10041804,C107012,0,1360/10/13
10041804,D109301,0,1360/10/13
10042208,C107012,0,1329/01/10
10042794,D109301,0,1360/06/20
10042885,D109301,0,1344/12/24
10044451,C107012,0,1371/04/18
10044519,D109301,0,1358/03/02
10044964,D109301,0,1336/09/20
10045276,C107012,0,1331/02/21
10045391,C107012,0,1362/11/03
10045896,D109301,0,1337/09/19
10047397,D109301,0,1361/03/12
10047728,C107012,0,1361/02/15
10047728,D109301,0,1361/02/15
10047769,D109301,0,1359/04/04
10047967,C107012,0,1339/06/10
10048213,C107012,0,1350/08/30
1004845,0,0,1330/01/04
10049872,D109301,0,1350/05/08
10051605,D109301,0,1359/07/01
10051803,D109301,0,1363/04/05
10053239,D109301,0,1362/04/01
100537,D109301,0,1348/11/11
10053908,D109301,0,1359/11/04
10055291,D109301,0,1341/07/01
1005586,D109301,0,1365/09/13
1005735,D109301,0,1329/05/08
1005800,D109301,0,1347/01/04
10060481,C107012,0,1326/01/06
10060481,D109301,0,1326/01/06
1006063,D109301,0,1325/12/28
1006089,D109301,0,1364/01/01
10065084,D109301,0,1326/07/09
100685,0,0,1367/06/30
10068757,D109301,0,1349/06/06
1006923,D109301,0,1365/08/15
1006956,C107012,0,1318/08/15
1006956,D109301,0,1318/08/15
10076867,D109301,0,1361/06/30
10080448,D109301,0,1356/05/04
100867,D104701,0,1367/03/26
100867,D109301,0,1367/03/26
10090298,D109301,0,1350/01/20
10090835,D109301,0,1363/02/01
100933,D109301,0,1363/08/26
10097897,D109301,0,1344/12/12
10097970,D109301,0,1341/09/01
10102150,D109301,0,1346/05/27
10102556,D109301,0,1349/12/20
10102754,D109301,0,1340/12/03
10102788,D109301,0,1357/10/01
10109767,D109301,0,1365/01/05
10118578,D109301,0,1364/05/02
10118586,D109301,0,1366/03/06
10122737,0,0,1361/08/19
10127231,D106601,0,1365/10/20
10133189,D109301,0,1338/05/27
10133759,D109301,0,1364/05/13
10133999,D109301,0,1324/02/22
10134278,C107012,0,1341/06/28
10134476,D109301,0,1323/12/09
10134591,D109301,0,1369/12/23
10134690,C107012,0,1338/09/04
10134773,D109301,0,1365/10/16
10134815,C107012,0,1341/07/01
10135051,D109301,0,1370/03/29
10135119,D106601,0,1372/01/28
10135119,D109301,0,1372/01/28
10135317,C107012,0,1341/11/20
10135804,D109301,0,1366/08/03
10135978,C107012,0,1339/12/10
10135978,D109301,0,1339/12/10
10136141,C107012,0,1323/05/11
10136208,C107012,0,1352/06/29
10136208,D109301,0,1352/06/29
10136448,C107012,0,1356/06/15
10136794,D109301,0,1366/06/22
10137289,D109301,0,1351/02/10
10137677,D109301,0,1367/09/02
10137917,D109301,0,1354/04/03
10138659,D109301,0,1344/09/01
10138865,D109301,0,1383/05/06
10139251,C107012,0,1351/06/09
10139251,D109301,0,1351/06/09
10139541,C107012,0,1357/05/15
10139772,D109301,0,1341/06/18
10139806,0,0,1358/03/26
10140150,D109301,0,1337/06/01
101477,D109301,0,1355/03/23
1014950,D109301,0,1367/06/24
10151553,D109301,0,1358/07/01
10155182,0,0,1347/11/11
10156586,D130088,0,1340/05/05
10157337,D109301,0,1364/08/16
10158822,D109301,0,1355/12/21
10159903,D109301,0,1350/02/17
1016,D109301,0,1351/06/30
10160133,D109301,0,1358/08/13
10160851,D109301,0,1350/03/10
10162907,D109301,0,1356/05/01
10163129,D109301,0,1346/11/09
10163202,D109301,0,1347/07/30
10164457,D109301,0,1363/03/11
10166833,D109301,0,1353/09/21
10166973,D109301,0,1301/01/01
10166973,D109301,0,1356/01/05
10168276,D109301,0,1358/06/30
10169092,D109301,0,1366/05/12
10170488,D109301,0,1354/06/30
10171692,D109301,0,1359/01/01
1017250,C107012,0,1331/07/10
10172898,D109301,0,1370/05/01
10175412,D109301,0,1344/06/21
10176972,D109301,0,1366/10/05
10176998,D109301,0,1367/07/28
10178648,D109301,0,1340/03/20
10180800,D109301,0,1370/10/05
10192318,D109301,0,1344/10/02
10198752,D109301,0,1362/10/02
102020,C107012,0,1363/06/23
102020,D106601,0,1363/06/23
10204147,D109301,0,1350/04/01
10205169,D106601,0,1357/04/01
10205169,D109301,0,1357/04/01
10205169,0,0,1357/04/01
10206787,D109301,0,1301/01/01
10206787,D109301,0,1365/06/26
102087,0,0,1364/01/20
10209591,D109301,0,1363/06/30
10213387,D109301,0,1360/06/17
10213890,D109301,0,1366/03/09
10214195,D109301,0,1367/05/01
10218170,D106601,0,1359/10/01
10218410,D109301,0,1354/03/04
1021849,D106601,0,1327/08/02
1021872,C107012,0,1330/06/01
10220291,D109301,0,1363/01/01
10226900,D109301,0,1354/01/15
10229821,C107012,0,1301/01/01
10231389,D109301,0,1361/05/18
10231678,D130088,0,1362/06/07
10233716,D109301,0,1355/09/04
10234045,D109301,0,1358/04/12
10237246,D109301,0,1358/03/08
10238699,D109301,0,1359/03/26
10241925,D109301,0,1367/04/04
10242170,D109301,0,1365/06/13
10242295,C107012,0,1366/06/16
10242295,D106601,0,1366/06/16
10246130,D109301,0,1365/06/27
10246239,D109301,0,1366/06/23
10246601,D109301,0,1372/04/30
10248185,D109301,0,1350/06/01
102491,D109301,0,1366/08/27
10258622,D109301,0,1366/07/01
1026699,D109301,0,1339/03/02
10268050,D109301,0,1354/09/20
1026889,D109301,0,1340/04/05
10271153,D109301,0,1365/08/27
10271724,D109301,0,1357/10/15
10271815,D109301,0,1355/03/22
10273548,D109301,0,1368/07/09
1027408,D109301,0,1327/02/24
1027457,D109301,0,1365/10/09
10275436,D109301,0,1365/11/16
10278398,D109301,0,1364/10/05
10280949,D109301,0,1366/01/20
1028117,D109301,0,1331/02/06
10281335,D109301,0,1301/01/01
10281525,D109301,0,1378/04/31
10282887,D109301,0,1359/06/23
10282986,D109301,0,1360/05/25
10283166,D109301,0,1363/10/14
10283414,D109301,0,1360/06/21
10283737,D109301,0,1362/06/30
10284248,D109301,0,1362/01/01
10285948,D109301,0,1301/01/01
10286151,D109301,0,1358/07/01
10286441,D109301,0,1349/06/01
1028653,D109301,0,1364/04/25
10286581,D109301,0,1358/06/30
1028851,D109301,0,1349/01/01
10293173,D109301,0,1357/10/09
10293173,D109301,0,1357/10/10
10293272,D109301,0,1359/02/07
10293520,D109301,0,1301/01/01
10293520,D109301,0,1361/04/13
10293546,D109301,0,1361/07/01
10294833,D109301,0,1361/04/22
10296267,D109301,0,1301/01/01
10296267,D109301,0,1356/06/05
10299246,D109301,0,1356/06/30
10307700,D109301,0,1362/09/02
10311827,D109301,0,1362/04/11
10312510,C107012,0,1353/12/29
10312510,D109301,0,1353/12/29
10315232,D109301,0,1362/06/31
10317097,D109301,0,1359/02/09
10317121,D109301,0,1359/06/06
10317824,D109301,0,1357/03/25
10317949,D109301,0,1358/09/24
10319291,D109301,0,1365/11/21
10319358,D109301,0,1366/06/16
10319895,D109301,0,1366/10/21
1032,D109301,0,1363/10/07
10321735,D109301,0,1346/08/04
10324887,D106601,0,1339/06/05
10324887,D109301,0,1339/06/05
10325140,D109301,0,1365/03/01
10326841,D109301,0,1354/06/01
1032945,D109301,0,1328/07/06
10330967,D109301,0,1361/02/05
10331890,D109301,0,1356/11/01
10332369,D109301,0,1337/05/08
1033273,D109301,0,1328/01/18
10334225,D109301,0,1364/03/17
10335164,D109301,0,1362/06/31
10338036,D109301,0,1363/11/14
10338044,D109301,0,1362/04/01
1033828,D109301,0,1326/03/10
10338788,D109301,0,1364/12/15
10339752,D109301,0,1358/11/20
10339976,D109301,0,1350/06/01
10341329,D109301,0,1368/08/19
10341501,D109301,0,1301/01/01
10341501,D109301,0,1374/03/25
1034198,D109301,0,1362/05/28
10345197,0,0,1349/01/03
10346161,D106601,0,1358/02/04
10346161,D109301,0,1358/02/04
10347540,D109301,0,1358/01/06
10348514,D109301,0,1362/07/01
10348662,D109301,0,1360/06/30
10348969,D109301,0,1362/06/12
10349199,D109301,0,1363/06/30
10349637,D109301,0,1363/06/25
10350239,D109301,0,1366/01/10
10358182,D109301,0,1352/06/20
10360329,D106601,0,1356/05/12
10360584,D109301,0,1345/03/05
10360832,D109301,0,1362/05/16
10361087,D109301,0,1363/06/30
10363331,D109301,0,1362/10/05
10364701,D109301,0,1349/02/05
10364727,D109301,0,1359/06/03
1036599,D109301,0,1323/01/10
10366326,C107012,0,1359/11/13
10368835,D109301,0,1363/05/25
10368934,D109301,0,1363/09/09
10369684,D109301,0,1369/06/29
10370070,D109301,0,1352/12/09
10370237,D109301,0,1359/03/04
10370542,D109301,0,1357/07/01
10371854,D109301,0,1367/11/25
10371938,D109301,0,1364/06/31
10372134,D109301,0,1364/01/04
10372407,D109301,0,1366/03/01
10374379,D109301,0,1364/03/23
10374452,C107012,0,1365/04/02
10374452,D109301,0,1365/04/02
10375285,D109301,0,1357/06/30
1037571,D109301,0,1344/09/15
10378115,D109301,0,1346/03/04
10378560,D109301,0,1346/03/02
10378719,D109301,0,1358/06/15
10380392,D109301,0,1359/01/02
10380624,D109301,0,1361/08/04
10380632,D109301,0,1361/08/17
10382471,D109301,0,1367/05/16
10383669,D109301,0,1357/12/01
10385284,D109301,0,1342/08/25
10385532,D109301,0,1355/03/14
10385649,D109301,0,1356/10/25
10385722,D109301,0,1357/10/16
10386498,C107012,0,1340/07/22
10386555,D109301,0,1346/03/11
10389054,D109301,0,1364/03/14
10389153,D109301,0,1367/09/22
10390979,D109301,0,1362/02/10
10392199,D109301,0,1366/01/20
10393312,D109301,0,1340/01/01
10393379,D109301,0,1360/07/01
10393411,D109301,0,1340/01/03
10394021,D130088,0,1365/09/27
10395218,D109301,0,1372/02/26
10395259,D109301,0,1367/01/26
10395416,D109301,0,1351/06/20
10399012,C107012,0,1345/06/01
1039916,D109301,0,1378/12/25
1039999,D109301,0,1339/06/20
10400711,D109301,0,1348/06/02
10404234,D109301,0,1355/01/04
10405868,D109301,0,1360/06/30
10405934,D109301,0,1361/12/06
10406684,D109301,0,1367/02/06
10406833,D109301,0,1365/06/17
10409373,D109301,0,1345/04/01
10409878,D109301,0,1357/01/01
10410736,D109301,0,1336/09/04
10412070,D109301,0,1365/11/25
10412484,D109301,0,1347/11/16
10414753,D109301,0,1353/10/05
10414779,D130088,0,1354/07/22
10415578,D109301,0,1301/01/01
10417178,D109301,0,1362/01/20
10417723,D109301,0,1370/06/28
1041839,D109301,0,1323/03/08
10422061,D109301,0,1346/08/04
10424141,D109301,0,1357/03/20
10424562,D109301,0,1361/06/07
10425478,C107012,0,1350/03/02
10425569,D109301,0,1355/06/01
10425833,D109301,0,1362/06/31
10426294,D109301,0,1359/05/30
10426534,D109301,0,1362/12/10
10426625,D106601,0,1364/02/25
10426625,D109301,0,1364/02/25
10426674,D109301,0,1365/03/03
10427011,D109301,0,1364/07/01
10427052,D109301,0,1366/02/04
10427300,D109301,0,1366/02/20
10427482,D109301,0,1370/10/24
10427649,D109301,0,1342/07/24
10428225,D109301,0,1362/06/31
10428464,D109301,0,1367/01/01
10430130,D109301,0,1361/01/01
10431872,D109301,0,1353/03/29
10435196,D109301,0,1340/03/19
10436178,C107012,0,1365/06/31
10436178,D109301,0,1365/06/31
10437671,D109301,0,1362/06/28
10438372,C107012,0,1340/04/18
10438372,D109301,0,1340/04/18
10438406,D109301,0,1355/01/02
10440121,D109301,0,1360/01/01
10440758,D106601,0,1301/01/01
10440758,D106601,0,1364/03/10
10440758,D109301,0,1301/01/01
1044080,D109301,0,1364/01/01
10441871,D109301,0,1352/07/05
10444594,D109301,0,1360/01/15
104463,D109301,0,1365/05/17
10448413,D109301,0,1362/03/20
10453793,D109301,0,1358/08/05
10455673,D130088,0,1363/06/10
10456754,D109301,0,1358/06/08
10459709,D109301,0,1358/04/01
1046135,D109301,0,1363/04/17
10461887,D109301,0,1361/04/02
10463099,D109301,0,1364/05/11
10463883,D109301,0,1360/01/07
10468627,D109301,0,1364/11/14
10469112,0,0,1366/11/05
10471274,C107012,0,1344/07/01
10472694,D109301,0,1360/01/01
10472835,C107012,0,1347/08/07
1047315,D109301,0,1326/07/23
10473486,D109301,0,1365/06/20
1047935,D109301,0,1319/07/08
10482909,D109301,0,1361/03/03
104836,D109301,0,1349/12/20
10484699,D109301,0,1364/03/01
10486694,D109301,0,1353/01/01
10487395,D109301,0,1360/06/10
10488088,D109301,0,1363/06/01
10489094,D109301,0,1355/01/01
10489391,0,0,1364/05/25
10489508,D109301,0,1349/07/18
10489870,D109301,0,1370/01/29
1049030,D109301,0,1359/06/30
10491231,D109301,0,1345/11/07
1049428,D109301,0,1316/07/03
104950,D109301,0,1368/11/28
10495729,D109301,0,1364/07/15
10495786,D109301,0,1348/12/29
10496024,C107012,0,1365/01/06
10497816,D109301,0,1357/09/18
10497816,D109301,0,1357/09/19
1050053,D109301,0,1366/07/22
10502714,D109301,0,1357/01/20
10504108,D109301,0,1338/01/18
10505261,D109301,0,1352/03/20
10505725,D109301,0,1352/12/01
10505949,D109301,0,1354/01/01
10506889,D109301,0,1348/02/05
10510964,D109301,0,1364/03/01
10511160,D109301,0,1348/12/09
10511202,D109301,0,1360/09/02
10511210,D109301,0,1363/04/18
105148,D109301,0,1368/03/06
1051648,D109301,0,1322/02/13
10517308,D109301,0,1360/03/01
10517332,D109301,0,1354/06/22
105189,D109301,0,1333/01/21
10519668,D109301,0,1371/04/06
10523769,D109301,0,1346/05/06
10523769,D109301,0,1346/07/06
10524700,D109301,0,1340/05/01
10527430,D109301,0,1366/03/24
10528735,D106601,0,1348/09/10
1052935,D109301,0,1353/01/01
10530327,D109301,0,1350/09/07
10530426,D109301,0,1363/05/30
105346,D109301,0,1351/10/22
10540540,D109301,0,1363/04/03
10547594,D109301,0,1342/01/01
1054980,C107012,0,1326/09/17
10550200,D109301,0,1368/04/20
10550465,D109301,0,1301/01/01
10550465,D109301,0,1353/01/06
10552453,D109301,0,1346/01/28
10552586,D109301,0,1361/04/13
10554152,D109301,0,1361/06/13
10555209,D109301,0,1368/01/23
10557379,C107012,0,1351/06/01
10557734,D109301,0,1368/03/25
10558054,D109301,0,1355/10/11
10560217,D109301,0,1347/05/29
10562049,D109301,0,1345/04/09
10563146,D109301,0,1342/03/15
10564144,0,0,1366/02/26
10564920,D109301,0,1355/11/09
10565059,D109301,0,1352/07/01
10565224,D109301,0,1365/06/19
1056613,D109301,0,1345/12/17
10568756,D109301,0,1360/02/19
1056894,D106601,0,1356/09/16
1056894,D109301,0,1356/09/15
1056894,D109301,0,1356/09/16
10569598,D106601,0,1364/03/06
10569762,D109301,0,1364/11/20
10570349,D109301,0,1360/07/01
10570489,C107012,0,1362/06/29
10570489,D109301,0,1362/06/29
10571198,D109301,0,1358/12/05
10575314,C107012,0,1353/01/03
10575314,D106601,0,1353/01/03
10576544,D109301,0,1353/01/01
10576650,D109301,0,1355/03/01
10577443,D109301,0,1363/04/31
10577625,D109301,0,1364/10/07
10578086,D109301,0,1350/01/13
10578094,0,0,1352/04/04
10579282,D109301,0,1357/01/05
10579456,D109301,0,1364/06/28
10581544,D109301,0,1358/01/12
10583409,D109301,0,1352/08/15
1058601,D109301,0,1340/10/18
10587863,D109301,0,1360/05/17
10589562,D109301,0,1358/05/12
1059070,D109301,0,1333/01/02
10592921,D109301,0,1301/01/01
10594240,D109301,0,1357/02/06
10595106,D109301,0,1361/03/25
10595304,D109301,0,1353/02/10
10595775,D109301,0,1348/06/30
1059674,D109301,0,1350/01/01
10596906,D109301,0,1362/03/31
10599207,D109301,0,1352/05/20
10599397,D109301,0,1345/02/01
10599801,D109301,0,1361/12/01
10600328,D109301,0,1345/11/10
10601219,D109301,0,1357/01/29
10601433,D109301,0,1357/01/01
10604148,D109301,0,1360/03/16
10604536,D109301,0,1348/03/08
10605376,D109301,0,1365/09/30
106054,D109301,0,1358/05/01
10605566,D109301,0,1358/09/11
10606234,C107012,0,1360/02/20
10606960,D106601,0,1366/11/05
10606960,D109301,0,1366/11/05
10608859,C107012,0,1358/08/26
10608859,D106601,0,1358/08/26
10608859,D109301,0,1358/08/26
10608982,0,0,1366/12/06
10610590,D109301,0,1354/03/20
10610715,D109301,0,1363/06/30
1061274,C107012,0,1323/07/10
10613602,D109301,0,1364/02/12
10616332,D109301,0,1354/12/13
10616837,D109301,0,1358/09/17
10616852,C107012,0,1347/12/11
10616993,C107012,0,1341/07/28
10616993,D106601,0,1341/07/28
10619575,D109301,0,1359/01/24
10619872,D109301,0,1365/01/18
10620136,D109301,0,1366/09/03
10625176,D109301,0,1301/01/01
10626232,D109301,0,1365/06/30
10627826,D109301,0,1360/05/12
10628154,D109301,0,1357/11/17
10629640,D130088,0,1365/06/30
10629921,D109301,0,1357/02/18
1063130,D109301,0,1330/09/10
10631778,D109301,0,1357/12/21
10633170,D109301,0,1363/03/20
10633824,D109301,0,1364/06/30
10635159,D109301,0,1359/05/15
10635456,D109301,0,1337/08/10
10635480,D109301,0,1366/06/30
10636363,D109301,0,1360/09/19
10636850,D109301,0,1344/05/01
10636876,D109301,0,1345/01/01
1063734,D109301,0,1384/02/08
10638096,D109301,0,1364/11/22
10638377,D109301,0,1363/06/28
10639045,D109301,0,1347/05/09
10639987,D130088,0,1365/09/08
10640738,0,0,1340/01/01
10644524,D109301,0,1346/11/01
10645885,D109301,0,1362/05/15
10646008,D109301,0,1356/04/12
10651263,C107012,0,1301/01/01
106526,D109301,0,1369/12/28
10652782,D109301,0,1347/08/17
10652782,0,0,1347/08/17
106542,D109301,0,1368/09/03
10655140,D109301,0,1365/11/19
10655249,D106601,0,1362/06/30
10656882,D109301,0,1341/06/30
10659068,D109301,0,1358/03/30
10659720,D109301,0,1363/01/01
10660,C107012,0,1362/10/24
10660,D109301,0,1362/10/24
10660348,D109301,0,1365/03/30
10660389,D109301,0,1360/02/01
10662047,D109301,0,1358/03/23
1066422,D109301,0,1336/03/01
10665818,D109301,0,1358/01/12
10666360,D109301,0,1352/05/10
10666568,D109301,0,1356/12/19
10668069,D109301,0,1360/04/01
10668085,D109301,0,1351/01/04
10668093,D109301,0,1354/01/28
10668200,D106601,0,1345/04/07
10668572,D109301,0,1357/06/15
10668929,D109301,0,1368/01/11
10670685,D109301,0,1359/08/30
10670826,D109301,0,1356/09/23
10670875,D109301,0,1346/06/31
10672608,D109301,0,1348/08/08
10672897,D109301,0,1301/01/01
10672897,D109301,0,1355/06/24
10673945,D109301,0,1353/02/29
10676757,D109301,0,1346/06/20
10677110,D109301,0,1362/01/07
10680627,D109301,0,1366/07/01
10681849,D109301,0,1301/01/01
10681849,D109301,0,1362/11/11
10684355,D109301,0,1365/11/14
10685097,D109301,0,1301/01/01
10685097,D109301,0,1363/01/02
10688075,D109301,0,1342/05/02
10688281,D109301,0,1360/06/31
10688422,D109301,0,1363/02/22
10689024,D106601,0,1359/03/17
10689024,D109301,0,1359/03/17
10691905,D109301,0,1362/02/31
1069210,C107012,0,1344/06/30
1069210,D109301,0,1344/06/30
10692317,D109301,0,1345/10/15
10692747,D109301,0,1357/04/15
10693364,D109301,0,1342/10/02
10696946,D109301,0,1356/06/30
10696953,D109301,0,1360/07/06
10697183,D109301,0,1359/01/08
10699296,D109301,0,1361/01/01
10699643,D109301,0,1360/04/30
10700839,D109301,0,1357/06/15
10701027,D109301,0,1354/06/01
10702280,D106601,0,1350/04/07
10703353,D109301,0,1356/06/01
10703486,C107012,0,1340/06/15
10704005,D109301,0,1356/05/03
10705556,D109301,0,1360/11/05
10707230,C107012,0,1351/10/15
1070812,D109301,0,1348/10/21
10710028,D109301,0,1331/04/24
10710135,D109301,0,1365/01/02
10710549,D109301,0,1365/10/08
10710606,D109301,0,1367/03/16
10711794,D109301,0,1358/10/24
10711950,C107012,0,1350/06/14
10712057,D109301,0,1349/04/01
1071570,D109301,0,1334/09/02
10716728,D109301,0,1358/11/11
10718187,D109301,0,1360/08/01
10718633,D109301,0,1342/06/17
10720092,D109301,0,1354/04/26
10720928,D109301,0,1343/02/27
10721173,D109301,0,1362/05/30
10722288,D109301,0,1355/02/01
10723633,0,0,1364/02/01
10723971,0,0,1345/05/01
10724797,D109301,0,1362/06/24
1072552,D109301,0,1333/04/01
10726016,D109301,0,1344/03/05
10726248,D109301,0,1357/04/07
10726321,D109301,0,1346/06/10
10729515,D109301,0,1359/04/19
10732238,D109301,0,1353/06/28
10732428,D109301,0,1364/10/01
10733897,D109301,0,1355/06/09
10734606,D109301,0,1355/01/09
10735454,D109301,0,1347/05/20
10735892,D109301,0,1340/03/02
10736924,D130088,0,1359/01/01
10737930,D109301,0,1358/01/24
10738375,D109301,0,1361/10/11
10738672,D109301,0,1359/06/30
10739563,D109301,0,1350/06/05
10740397,D109301,0,1352/06/12
10741361,C107012,0,1357/09/17
10741361,D106601,0,1357/09/17
10741361,D109301,0,1357/09/17
10741361,D109301,0,1357/09/18
10743680,D109301,0,1351/06/20
10743813,D109301,0,1356/09/11
107441,D104701,0,1348/05/06
10744944,D109301,0,1355/02/05
10746436,D109301,0,1344/01/22
10747046,D109301,0,1357/01/28
10747053,D109301,0,1363/01/14
10747822,D109301,0,1343/04/20
1074855,C107012,0,1374/01/01
10749539,D109301,0,1364/03/03
10750511,D109301,0,1361/10/29
10750982,0,0,1354/06/31
10751899,D109301,0,1365/06/26
10752772,D109301,0,1349/01/08
10753630,D109301,0,1363/04/03
1075423,D109301,0,1322/10/25
10754406,C107012,0,1345/03/24
10755759,D109301,0,1364/01/01
10757490,D109301,0,1359/05/12
10757672,D109301,0,1349/01/06
10758761,D130088,0,1364/06/24
10758795,D109301,0,1352/11/18
10759652,D109301,0,1344/01/06
10762938,D109301,0,1362/12/04
10763936,D109301,0,1356/10/21
10766418,D109301,0,1361/03/26
10766657,D109301,0,1354/07/01
10768471,D109301,0,1359/06/01
10768927,D109301,0,1357/11/23
10770626,D106601,0,1363/05/15
10770626,D109301,0,1363/05/15
10771681,D109301,0,1301/01/01
10771681,D109301,0,1347/05/08
10771939,0,0,1366/01/12
10772424,D109301,0,1365/06/28
10773406,D109301,0,1357/06/28
1077460,D109301,0,1326/10/03
10778025,D109301,0,1362/05/19
10778165,D109301,0,1376/03/21
10778959,C107012,0,1365/09/12
10780203,D109301,0,1356/01/22
10782126,D109301,0,1349/05/10
10782720,0,0,1353/01/13
10782878,D109301,0,1360/09/20
10783520,D106601,0,1301/01/01
10783520,D109301,0,1301/01/01
10783520,D109301,0,1353/08/07
10784213,D109301,0,1365/08/26
