CIF,CUSTOMERTYPE,BIRTHDATE,POSTALCODE
11081478,2,4/24/2001,1995614118
11130960,2,3/8/2009,1998814911
11292786,2,1/9/2010,1513717413
11367554,2,5/23/2011,1954746111
11510765,2,8/21/2013,1436753346
11584497,2,10/27/2010,9137795599
11867165,2,1/28/2003,7941783775
11893013,2,1/16/2005,1587571555
11951290,2,7/2/2003,1917635711
12030011,2,6/3/1936,1586717311
12130415,2,12/12/2005,1947946664
12279808,2,4/18/2010,1591643513
12316204,2,5/22/2014,1516613313
12351193,2,8/26/2014,1933844636
12370151,2,9/9/2009,1967813613
12451902,2,11/12/2013,1517886451
12458469,2,5/15/2004,1998755397
12489878,2,8/23/2014,1435916536
12500237,2,4/20/1983,1598663118
12562013,2,3/28/1995,1436994981
12590105,2,3/1/1997,1591814951
12594578,2,6/23/1951,1415753361
12596847,2,9/9/2014,1561636854
12610226,2,12/2/2002,1954733434
12616249,2,7/30/2007,1989818348
15035180,2,6/21/1975,1415983391
15039766,2,9/28/2014,1417965463
15137535,2,8/17/2004,4616159635
15458803,2,6/12/1994,1915613339
15462355,2,8/21/2013,1457984534
15472714,2,5/29/2013,4979153184
15482848,2,12/6/2004,1398837711
16320310,2,11/27/2011,1513644513
16321859,2,6/16/2012,3755154518
16329611,2,12/16/2014,1513616831
16361142,2,3/10/2004,1767678483
16406180,2,4/6/2015,1111111111
16593350,2,6/30/2014,1415713185
16594582,2,6/9/2003,6811881111
16637975,2,2/28/2011,1969743559
16664431,2,4/9/1994,1467635164
16683674,2,7/6/1971,1967764111
16711719,2,10/9/2007,1111111111
16728855,2,11/13/1979,13185116
16804560,2,1/20/2005,9876543215
16805934,2,12/17/1983,1666937337
16827289,2,4/22/2013,1395964111
17017945,2,4/21/1971,1544733311
17117050,2,4/28/2007,3351114109
17117476,2,11/30/2005,1569633811
17119007,2,2/4/1967,1234567890
17171953,2,7/24/2006,1586863313
17233832,2,1/9/2008,1968917173
17335084,2,6/30/2008,3818997784
17342099,2,6/14/1992,1236523652
17391726,2,2/4/2014,1139735413
17519873,2,11/10/2015,4916673946
17523927,2,6/24/2012,1586747911
17527502,2,10/21/2013,1586747911
17560298,2,1/6/2013,1586747911
17560323,2,10/12/2011,1586747911
17652468,2,7/14/2014,1947745119
17677975,2,3/8/2003,1949614411
17697042,2,4/24/1990,1944833546
17819669,2,3/14/2016,1571753334
17865400,2,7/18/2018,1665867546
17925632,2,2/19/2006,1956844139
17954584,2,9/14/2015,1985693411
17992988,2,7/8/1995,1876944619
18016221,2,7/19/2016,1511767611
18041014,2,2/17/2008,1968716353
18080865,2,1/10/2004,9355113413
18087594,2,8/21/2000,1513715111
18226501,2,5/24/2015,1434914197
18233224,2,8/16/2011,5166618515
18233740,2,7/5/2015,1471791985
18246576,2,5/1/2006,1111111111
18250412,2,2/15/2016,1968938114
18295729,2,8/28/2013,1968938114
18401308,2,12/3/1984,7635168376
18412155,2,2/2/2013,1651736849
18422689,2,9/22/2002,1996714561
18437639,2,2/17/2010,1965949199
18523627,2,1/17/2016,1968938114
18550180,2,5/25/2016,7914613811
18573201,2,6/16/2015,1913733568
18612401,2,5/22/2010,1439713134
18613717,2,8/16/2016,1576637167
18631460,2,5/31/2016,1514835411
18640039,2,6/16/2014,1134845563
18654372,2,3/17/2015,1451813416
18659455,2,8/31/2016,1668739913
18759004,2,12/14/1993,1957917517
18774647,2,7/18/2001,3914176314
18809193,2,1/28/2009,1431713514
18827789,2,9/23/1991,1576637666
18837206,2,7/7/2009,9185173911
18847530,2,12/15/1992,3397173174
18857230,2,1/3/2011,1967757311
18866008,2,4/4/2016,1587844415
18875118,2,3/13/2005,8137817781
18878287,2,12/27/2003,8815969865
18887363,2,3/3/2008,1997744415
18890468,2,4/23/2012,1134837544
18891509,2,8/8/2016,1998897184
18893221,2,3/14/2010,1837175745
18920682,2,10/13/1964,1371658111
18926763,2,3/7/2009,1597833911
18956171,2,2/28/2009,1149683314
18966489,2,12/26/2005,1416643168
18974143,2,8/30/2015,1936773713
18981198,2,11/29/2016,1433674344
18983278,2,7/5/2016,1997968988
19056121,2,10/30/2013,7511811383
19098568,2,4/20/1974,1388154311
19127935,2,6/15/2016,1941614546
19174116,2,9/26/2012,1658756311
19209796,2,1/2/2001,1994833454
22331681,2,6/16/2004,1236547890
22353587,2,8/26/2015,3156956948
22422851,2,12/5/1984,1589613748
22452981,2,8/14/2003,8137918647
22463988,2,4/20/2009,4931169555
22468946,2,8/14/1988,3365112926
22520324,2,11/3/2007,1976833611
22530380,2,4/24/1995,1416893783
22590723,2,9/14/1997,1966944714
22614606,2,10/20/2008,1915949519
22642284,2,4/10/2010,1234567890
22648109,2,7/2/2011,1234567954
22677116,2,1/14/1992,6463116485
22786693,2,4/28/1999,8815813669
22820385,2,4/6/2004,1917733311
22851422,2,11/22/2004,1599945537
22919781,2,6/19/2017,1513616831
22939730,2,6/11/2005,1559649611
22944672,2,12/26/2010,1396115441
22982722,2,10/27/1996,1964914166
23141690,2,3/6/2017,1547916339
23309768,2,1/31/2011,1422222222
23314479,2,1/20/1986,4714734134
23316045,2,5/11/2016,4615735616
25164849,2,7/9/2017,1445683136
25165358,2,1/18/2003,1457896351
25185588,2,9/12/2002,1464665681
25263492,2,9/18/2017,1976753511
25332859,2,4/30/2013,1998874365
25377821,2,6/24/2006,1391863194
25500737,2,10/22/2017,1387864114
25533894,2,1/1/2006,1913793134
25541780,2,8/9/2015,5715614119
25572132,2,2/24/2010,1436764816
25684556,2,6/1/2004,1476693988
25698572,2,10/2/2002,1416634520
25710989,2,1/10/1954,1865855386
26004762,2,3/17/2013,1939856515
26046367,2,5/16/2011,1369763441
26048181,2,7/24/2011,3159915111
26075309,2,7/24/2016,1653963934
26097634,2,11/8/2017,3331495894
26161661,2,2/23/1997,1455694136
26170092,2,3/10/1991,5157698813
26174367,2,9/13/2017,1911933111
26289074,2,10/11/2008,1611683666
26308361,2,2/17/2007,1111111111
26345504,2,10/30/2003,1444743951
26503102,2,7/4/1963,1397156113
26514646,2,2/26/2018,1567713457
26518142,2,12/9/2015,5158434737
26552653,2,2/2/2015,1378789611
26583385,2,4/27/2008,1436918381
26624833,2,6/27/2018,1511767611
26755793,2,8/31/2003,3445169556
26766709,2,12/24/2016,1389744661
26803031,2,4/24/2018,1919867345
26819433,2,6/28/2012,8154659177
26823682,2,6/28/2009,8174844463
26868653,2,6/28/1997,1911973533
26869743,2,9/2/1995,1116959485
26912519,2,10/31/1992,1486939786
26915710,2,6/18/1980,1234567891
26939777,2,2/11/1973,1236547890
26956458,2,11/13/2004,1475693363
26971242,2,1/16/2018,1416935337
27032473,2,9/19/2011,3198475572
27038603,2,9/14/1992,2154875421
27126630,2,2/21/2015,1111111111
27243708,2,5/26/1979,1414618545
27352624,2,8/10/2005,1991634413
27432442,2,7/4/2017,1583636820
27462423,2,11/16/2016,1468943766
27463579,2,10/29/2012,1951864393
27544733,2,5/15/1994,1518844813
27558832,2,5/25/1976,1343854176
27569094,2,9/5/2018,1234567891
27613769,2,9/26/2018,1775864766
27654227,2,10/5/2004,1419714674
27672898,2,3/16/2016,1998875834
27708569,2,1/2/2017,1374685379
27778992,2,9/25/2010,1995965953
27784099,2,9/15/2018,1666947536
27788827,2,4/18/2015,1513914337
27810183,2,5/8/1927,1135937641
27810233,2,9/8/2014,1938953915
27850916,2,2/21/2018,7174936156
27977693,2,10/26/1996,1587775677
27983329,2,2/16/2019,1234567890
27994409,2,3/5/2013,1935986911
28003945,2,8/11/1962,1913774953
28006666,2,3/9/2002,1473688458
28009900,2,3/31/2015,1655995163
28017226,2,6/22/1979,1457867111
28024032,2,11/19/2008,1319651847
28029239,2,2/12/2019,1145743714
28067064,2,2/8/2003,7514888358
28080034,2,1/6/2019,7915356135
28089613,2,5/20/1995,1419744465
28116655,2,9/19/2002,1399736311
28128395,2,3/4/2017,1431793634
28129567,2,11/23/2003,1419736934
28136356,2,12/19/2018,1948643851
28189702,2,4/7/2019,1111111111
28222669,2,1/8/2019,1435893688
28233765,2,4/22/2017,9717793953
28252880,2,3/11/2006,3351893459
28255396,2,10/1/1990,1584684511
28296614,2,8/3/2016,1967733413
28298396,2,11/8/2009,1661714378
28307858,2,4/20/2019,1611617116
28320521,2,10/7/2003,1939898519
28341634,2,4/21/2011,4747111129
28727592,2,9/22/2015,1315685674
28762847,2,1/18/2015,1435865443
28764280,2,6/23/2019,1969833536
28772291,2,1/15/2019,1717663713
28787075,2,9/29/2019,1516616611
28793164,2,5/23/2019,5137684786
28801702,2,5/20/2010,1547916155
28837706,2,4/20/2019,1374685397
28859825,2,11/27/1991,9177911111
28862464,2,4/28/2008,1464778915
28874923,2,2/27/1971,1595718311
28903607,2,3/7/2013,1957913435
28908697,2,6/30/2019,1346943856
28928422,2,12/10/2017,1444714414
28944577,2,8/20/2005,1193833661
28947133,2,1/21/2008,1593669511
28966992,2,3/8/1999,1471193597
28970994,2,10/10/2011,1514755711
28995454,2,7/9/2019,7914957859
29027307,2,8/19/2018,1563716119
29039682,2,8/7/2019,1476885563
29039807,2,9/28/2004,7618767651
29065331,2,2/27/2019,1964935951
29067667,2,6/3/2019,1146888319
29071982,2,5/4/2010,5135845419
29144425,2,8/13/2019,1517944117
29165586,2,10/31/2004,1469615513
29166188,2,5/19/2012,3813849566
29180460,2,8/23/1998,1983969411
29181898,2,8/19/2003,1516645819
29244811,2,3/8/2009,1555646517
29254935,2,3/11/1970,1388144313
29258167,2,4/5/2015,1595718611
29265899,2,11/19/2003,1434614533
29285350,2,5/10/2016,1591816417
29291523,2,11/12/2014,8945151460
29294931,2,9/14/2019,8815839759
29297892,2,12/1/1981,1659877111
29310257,2,11/11/2019,1584873813
29315496,2,9/2/2019,1435914831
29317070,2,1/7/1984,1389798411
29319613,2,10/11/2009,8916986396
29320470,2,9/10/2016,1868179609
29323706,2,1/7/2013,1465955500
29324654,2,3/31/2019,8146614154
29325297,2,8/28/2018,1146835355
29332335,2,9/2/2015,1416853353
29332434,2,7/21/2014,1481997861
29333358,2,7/29/2007,1937735111
29336211,2,1/2/2019,1371883198
29337920,2,12/2/2008,1968917154
29338498,2,10/7/2019,1948844969
29351103,2,10/15/2017,1598817920
29355690,2,6/3/2018,1371873586
29355997,2,7/4/2018,1547916615
29359353,2,8/18/2014,5619144336
29361557,2,10/22/2019,3331495896
29368230,2,10/7/2019,9188887839
29369808,2,12/11/2006,6815312421
29370889,2,5/11/2019,1361914518
29379526,2,1/22/2006,1576996944
29395704,2,7/28/2019,4715658531
29409794,2,5/29/2017,6413715515
29410826,2,6/9/2018,1343996557
29414810,2,9/4/2019,1561833533
29418076,2,5/24/2017,6819775947
29419082,2,11/3/2004,8714863405
29423290,2,10/23/2010,1966834944
29424694,2,12/5/1989,3397111147
29425477,2,8/3/2019,4917749493
29428604,2,11/14/2017,1977713149
29429347,2,1/4/2005,4616159914
29429610,2,4/29/2007,4619432961
29439031,2,9/17/2019,9188116704
29441763,2,9/20/2011,9718985395
29443652,2,5/25/2015,1458673811
29444247,2,3/1/2005,1687785365
29449246,2,10/5/2019,3413894594
29450244,2,12/2/2018,1959783517
29453966,2,10/1/2011,1667735594
29462371,2,11/13/2019,1473883378
29468881,2,10/13/1996,1481734173
29472230,2,10/12/1987,1978965711
29473972,2,6/24/1996,1589613748
29474582,2,2/26/2019,3188115649
29478690,2,9/18/2019,1455844816
29480977,2,5/29/2003,7941783775
29485935,2,11/13/2005,7941813749
29486453,2,9/10/1980,1551814315
29493376,2,11/17/2019,6816773666
29494085,2,7/22/2019,1647863916
29498292,2,4/27/2019,6178813315
29502598,2,6/25/1977,1399833611
29509536,2,9/1/2019,1661765151
29522398,2,8/26/2015,1476947693
29528650,2,2/25/2019,1598953511
29542503,2,8/24/2016,1513834308
29552718,2,8/14/1997,1389913115
29556081,2,6/2/2019,1514734914
29569761,2,11/21/2016,4936134976
29570769,2,5/22/2018,1936938194
29573698,2,4/20/2016,1371873475
29575115,2,10/10/2019,5155956683
29577103,2,9/11/2018,1517844615
29577749,2,8/30/2010,1391955413
29580420,2,11/5/2015,3951986784
29583085,2,2/20/2019,8139174666
29584166,2,6/10/2018,1937913711
29584844,2,10/27/2018,1687839578
29585478,2,11/12/2019,9188116704
29586526,2,11/5/1969,3199785475
29588704,2,9/22/2019,1313974717
29593076,2,4/26/2017,1938863497
29595030,2,11/15/1967,1514613611
29595097,2,11/30/1981,1419913465
29608940,2,11/4/2006,1516985311
29609336,2,4/21/2002,6155886968
29612744,2,12/8/2015,8918786159
29613486,2,12/31/2019,1434914197
29613767,2,8/19/2014,1419653655
29618576,2,9/1/2013,1517843517
29619335,2,8/20/2007,3394158897
29621414,2,7/7/2019,1371995763
29623436,2,1/7/2018,1388957699
29623667,2,10/1/2003,1966935354
29631926,2,10/5/2019,1446667433
29638939,2,1/19/2016,1668745512
29639010,2,10/23/2019,1485895839
29640042,2,6/23/1984,1553616411
29650710,2,12/10/2019,4715851114
29655784,2,10/23/2019,1463773346
29656725,2,2/3/2019,1138645719
29657020,2,9/29/2018,1435793166
29662277,2,11/27/2004,3188115338
29662442,2,8/9/2003,3188115394
29663796,2,1/11/2005,1516695517
29665338,2,9/30/2000,3746137665
29672474,2,1/18/2015,1435865443
29674348,2,1/8/2014,1345939435
29675469,2,10/20/2019,7917657443
29677788,2,7/14/2016,1998876668
29678562,2,4/30/2016,1119817414
29681616,2,12/6/2015,1531646119
29682655,2,7/31/2011,1333743363
29683851,2,8/26/2014,1947934434
29685955,2,4/12/2016,1413694684
29686904,2,9/8/2019,7816777199
29687589,2,12/9/2019,1968634576
29690658,2,8/6/2003,1969735539
29694957,2,7/2/1959,1371856117
29694965,2,3/12/2005,1935754905
29695459,2,3/1/2016,1443773344
29699592,2,11/8/1977,1598717834
29699816,2,10/26/2014,1455815168
29710514,2,7/12/2005,1463864483
29711272,2,10/27/2018,7941644308
29711942,2,2/3/2010,6816773944
29715406,2,4/24/1979,5159184455
29733144,2,11/16/2019,3319157385
29733508,2,11/12/2019,1374685615
29741675,2,10/4/2011,5716884886
29744141,2,10/30/2007,1546937415
29744745,2,1/7/2020,1913674717
29745577,2,12/3/2019,1981111569
29746336,2,11/25/2019,1656615311
29750106,2,2/11/2001,1415953681
29750262,2,1/18/2020,1453743376
29754256,2,7/1/2019,1138834511
29755519,2,12/17/2019,8814615655
29757879,2,5/10/2011,1966743561
29758240,2,4/30/1984,1977814353
29760170,2,10/1/2011,3431963653
29761012,2,1/23/2000,1967616386
29761129,2,10/13/2010,1516984411
29762242,2,9/5/2016,1595843127
29764834,2,3/12/2016,1511739741
29765740,2,7/30/2019,1555733854
29770807,2,4/4/1996,1439914161
29771557,2,8/25/2008,1947834951
29772530,2,12/23/2017,1136637696
29774619,2,1/24/2009,4916716981
29775202,2,4/9/2019,3754137933
29779121,2,12/9/2018,1969944116
29779626,2,5/7/2019,1743744954
29780020,2,11/8/1994,1917713143
29780426,2,8/11/1993,4915958171
29782505,2,12/10/2019,3153616369
29786167,2,2/21/2017,1546663616
29788205,2,8/6/1985,1994913433
29793841,2,8/13/2005,1576936411
29794070,2,11/18/2015,1644817463
29796174,2,1/14/2020,8158917481
29799459,2,9/18/1997,3799156945
29801958,2,5/13/2007,1531633911
29804036,2,12/5/1995,3836179898
29806627,2,7/21/2014,1997998331
29809258,2,4/13/1998,1561636847
29812153,2,4/10/2012,3993147702
29813722,2,9/11/2013,1998835351
29821139,2,2/24/2020,1911935649
29823929,2,11/7/2012,1586737814
29824968,2,2/4/2013,1389714361
29825056,2,7/26/2012,1511834116
29826997,2,12/29/2019,3818994466
29834637,2,9/26/2017,1985853355
29837176,2,5/6/2013,6155955474
29837713,2,2/8/2020,1998913915
29839214,2,11/10/2009,1514613611
29840105,2,10/10/2018,1455714181
29840352,2,11/12/2014,1436975173
29842689,2,12/25/2019,1587745713
29852050,2,1/9/2020,6817895617
29856713,2,5/26/2019,1111111111
29859238,2,10/22/1995,9719753875
29859592,2,10/23/2011,1589873113
29862448,2,6/29/2015,1147784646
29874054,2,8/17/2019,9196997941
29882289,2,8/29/2019,9417743114
29888765,2,1/6/2003,1518644133
29892361,2,10/12/1992,1466733181
29892742,2,9/20/2017,1514613611
29899697,2,1/21/2012,1446834861
29901162,2,8/6/2013,1995854376
29909124,2,1/20/2020,7951912021
29911054,2,2/26/2020,1511736556
29912250,2,8/13/2006,1319813418
29914314,2,8/28/1994,1913635364
29916848,2,2/8/1992,1611639695
29917341,2,1/27/2020,1483995834
29917663,2,3/7/2009,1595844411
29917978,2,4/13/2009,1555813713
29919503,2,11/24/2019,1736785415
29919602,2,12/27/2015,123456789
29921053,2,2/23/2020,1119668752
29921376,2,3/4/2017,1435853368
29930203,2,10/27/2018,8165633111
29931938,2,5/11/1994,1991793963
29932514,2,1/19/2011,3361118549
29932621,2,10/24/2001,1991793963
29938073,2,6/11/2005,1234567890
29939121,2,6/2/2015,1511849411
29939444,2,2/27/1999,1413614645
29941093,2,9/9/2001,1913784411
29942034,2,4/26/2011,9718764483
29947322,2,2/6/2005,1913784411
29951035,2,12/5/2019,4916988438
29961596,2,6/27/2006,1946743413
29962396,2,8/2/1976,1518646177
29965993,2,2/22/1989,1911943891
29967676,2,10/6/2013,9713993194
29968443,2,2/16/2020,8341664767
29969128,2,6/11/2006,5816767810
29972346,2,5/2/2006,1558738714
29972411,2,1/20/2005,1596964915
29972684,2,11/8/2010,1558738714
29976537,2,8/1/2011,1513914341
29977535,2,10/1/2016,5165695676
29979291,2,4/6/2011,1477913113
29980745,2,3/16/2014,1681994313
29981909,2,12/26/2007,1554744374
29982378,2,3/6/2019,1668745149
29987062,2,2/15/2020,1436953965
29988714,2,2/25/2007,1516684613
29991734,2,8/17/2015,1517974411
29993755,2,11/23/1988,1483874469
29995487,2,3/2/2011,1467886561
29995560,2,2/7/2016,1457883353
29998598,2,12/10/2018,7951919851
29999067,2,6/21/2015,7951919851
29999406,2,9/21/2005,9816676934
30001762,2,1/5/2004,1969765157
30003099,2,6/30/2019,1991953181
30003222,2,9/6/2014,1565844119
30004741,2,8/29/2016,1446863910
30005409,2,8/6/2018,1485967621
30005854,2,8/4/2002,1991647421
30006811,2,5/22/2018,7951193110
30008379,2,1/21/2020,1645985863
30010904,2,3/10/2020,1997855453
30011126,2,8/10/1994,1933898611
30014369,2,1/18/2020,1418944511
30017156,2,3/13/2010,4771163771
30037741,2,12/24/2019,5137645961
30041917,2,8/26/2018,1991953181
30042642,2,2/12/2020,7951919467
30045371,2,3/10/2015,1389736511
30045504,2,5/3/2005,1138955514
30045728,2,9/10/2017,1966863693
30045850,2,9/5/2010,1437713498
30047054,2,12/17/2018,3145982922
30050470,2,2/24/2007,1944993465
30058416,2,5/12/2019,1916615813
30062277,2,8/2/1951,1516975915
30067458,2,9/30/2000,7951515410
30067466,2,6/16/2001,7951354628
30076723,2,8/23/2006,1916614411
30087910,2,4/19/2017,1938683111
30089239,2,4/10/2017,1995965954
30091722,2,1/20/2018,1549743541
30092472,2,12/1/2018,1517769513
30094809,2,10/8/2019,1554916949
30095731,2,8/2/2011,6356178858
30096929,2,4/29/2013,8771833161
30099543,2,12/22/2013,1563736313
30099709,2,4/22/2017,1563736316
30100127,2,7/20/1999,4617634798
30100234,2,8/9/2006,1563736314
30100283,2,8/16/2009,1563736316
30100309,2,6/23/2002,1915956517
30100333,2,2/25/2013,1563736315
30100374,2,11/23/1975,1651636941
30100804,2,12/26/2015,1936793183
30101224,2,11/20/2012,1997913316
30103725,2,11/8/2015,1485967619
30103980,2,11/15/2015,7951619959
30104392,2,7/15/1993,1513638811
30104590,2,7/8/2001,5157613893
30104947,2,11/9/2016,1911657111
30108146,2,4/29/2020,1517974412
30108237,2,3/4/2020,5361755498
30108526,2,5/16/2007,1156613533
30109425,2,10/2/2007,8639115630
30110100,2,4/8/2020,1681963118
30112064,2,2/15/1994,1818184419
30112684,2,9/28/2014,1915653943
30112767,2,3/7/2013,1484975413
30114029,2,11/21/2017,1939633739
30114508,2,6/23/2020,1595747163
30115885,2,3/5/2012,4619119459
30115968,2,10/4/2008,4914914978
30123509,2,8/28/2019,4934193516
30123970,2,3/9/2015,1995863311
30125025,2,9/25/2003,1919991993
30125108,2,10/2/2011,8918773536
30126015,2,2/6/2008,9315653471
30126072,2,2/20/2016,9155871115
30126130,2,8/10/2005,8477153111
30127005,2,2/16/2015,9317157752
30127898,2,5/14/2003,3761418746
30127948,2,4/5/2020,1964813411
30128193,2,6/14/2010,4914688835
30128979,2,1/15/2020,1516655111
30130611,2,2/1/2020,1919991993
30130629,2,7/11/2006,1911857533
30130637,2,11/23/2005,1957917198
30130652,2,6/28/2016,1435763671
30130686,2,9/25/2010,1147784644
30131213,2,2/3/2020,1563783517
30133870,2,9/28/2011,1145693176
30137152,2,2/26/2002,1463863786
30137707,2,5/29/1986,1111111111
30137855,2,2/5/2018,1968814611
30137996,2,12/26/2000,9351333968
30138382,2,4/13/2008,8741716516
30139182,2,12/18/2001,6744131713
30140404,2,2/27/2017,9179663496
30141071,2,10/28/2013,1513914333
30141394,2,3/13/2007,1468833846
30141832,2,6/14/2011,1436954661
30144034,2,1/14/2008,1649743863
30144919,2,1/7/1995,1461656511
30145635,2,4/2/2016,1389793411
30148795,2,9/21/2016,1937956934
30149132,2,1/22/2009,6177861784
30149629,2,10/18/2015,4716676566
30151377,2,3/5/2020,7591666543
30153225,2,6/25/2013,1513914334
30153324,2,6/12/2003,9617975577
30153357,2,12/31/2019,1981617411
30154496,2,6/3/2006,3214569874
30156038,2,9/8/1981,1513915618
30160485,2,2/19/2006,1998889316
30160733,2,8/29/2009,1516645511
30160741,2,8/23/2016,9971758711
30164255,2,11/6/2012,1915613469
30164297,2,5/11/2011,1915613457
30164677,2,2/17/2016,1988893717
30166490,2,6/3/1984,1991614694
30167415,2,3/12/1997,1969764136
30168769,2,2/1/2010,1141733571
30168785,2,4/10/2017,1965949196
30168793,2,12/22/2003,1578663613
30169551,2,12/21/2016,1934946163
30170542,2,2/17/2020,1144554454
30172969,2,2/12/1998,3711111111
30173637,2,4/21/2015,1969935855
30174759,2,2/19/2020,1454813123
30176028,2,5/16/2004,1517944865
30176838,2,4/9/2019,3354932792
30179519,2,8/6/1972,1469916539
30180236,2,5/11/2014,3941893685
30180566,2,6/16/2012,1474966896
30180707,2,11/11/2009,3941893685
30180830,2,10/29/2018,9971725898
30183800,2,5/31/2018,8947184365
30184220,2,6/13/2009,1388144313
30190896,2,8/2/2015,1416799815
30191498,2,12/17/2005,9819988985
30192041,2,7/22/2010,4919613547
30192058,2,2/25/2019,1151743133
30192553,2,11/12/2019,1478657183
30192884,2,1/22/2019,4615739757
30194708,2,11/9/2005,4916619336
30195242,2,9/17/2017,1346954915
30195432,2,4/21/2015,1917718354
30195648,2,5/7/2020,8714684380
30197131,2,8/30/2015,1436965211
30198535,2,7/12/2016,6315774214
30199384,2,10/29/2006,1389744661
30199731,2,1/8/2011,1155664413
30200612,2,6/16/2012,1998615161
30200711,2,2/26/2018,6617858775
30201834,2,12/11/2017,4917747983
30203129,2,4/14/2020,3816666758
30203897,2,11/7/2004,1473888561
30206031,2,2/27/2018,1481644325
30206429,2,8/14/2013,1446834516
30208367,2,4/23/2009,3113334839
30210330,2,3/7/1999,1834173659
30210694,2,12/14/2015,1968634618
30210736,2,4/6/2019,9187744367
30218713,2,4/21/1996,1445873811
30220065,2,9/8/1997,1957944455
30220073,2,7/8/1998,8459179119
30221402,2,10/19/2008,1547914718
30221469,2,3/10/2018,1481644325
30221576,2,7/8/2004,1593813441
30221907,2,3/11/2020,5613964185
30224778,2,11/14/2016,1917745139
30225460,2,5/19/2020,3837141861
30226369,2,3/1/2020,5361755497
30226468,2,10/25/2014,4913614395
30227664,2,10/11/2007,9184643953
30228308,2,5/5/2011,8139174369
30228613,2,1/9/2007,1416963555
30230395,2,12/8/2014,1518858111
30230429,2,7/17/2017,1511633144
30230916,2,11/5/2006,3188113577
30234835,2,5/23/2016,1435893681
